Org1,Org2,Edu1,Edu2,Edu3,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8
Concurrent computing,Software Engineering,Computer Science,Computer Science,Computer Science,Concurrent computing,Concurrent computing,Software Engineering,Concurrent computing,Software Engineering,Concurrent computing,Concurrent computing,Concurrent computing
Concurrent computing,Software Engineering,Computer Science,Computer Science,Computer Science,Concurrent computing,Business System Analysis,Software Engineering,Concurrent computing,Software Engineering,Concurrent computing,Concurrent computing,Concurrent computing
Concurrent computing,Software Engineering,Computer Science,Computer Science,Computer Science,Business System Analysis,Concurrent computing,Software Engineering,Concurrent computing,Software Engineering,Concurrent computing,Concurrent computing,Concurrent computing
Concurrent computing,Software Engineering,Computer Science,Computer Science,Business System Analysis,Concurrent computing,Concurrent computing,Software Engineering,Concurrent computing,Software Engineering,Concurrent computing,Concurrent computing,Concurrent computing
Concurrent computing,Software Engineering,Computer Science,Business System Analysis,Computer Science,Concurrent computing,Concurrent computing,Software Engineering,Concurrent computing,Software Engineering,Concurrent computing,Concurrent computing,Concurrent computing
Concurrent computing,Software Engineering,Business System Analysis,Computer Science,Computer Science,Concurrent computing,Concurrent computing,Software Engineering,Concurrent computing,Software Engineering,Concurrent computing,Concurrent computing,Concurrent computing
Concurrent computing,Business System Analysis,Computer Science,Computer Science,Computer Science,Concurrent computing,Concurrent computing,Software Engineering,Concurrent computing,Software Engineering,Concurrent computing,Concurrent computing,Concurrent computing
Business System Analysis,Software Engineering,Computer Science,Computer Science,Computer Science,Concurrent computing,Concurrent computing,Software Engineering,Concurrent computing,Software Engineering,Concurrent computing,Concurrent computing,Concurrent computing
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Management,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Management
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Management,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Management
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Management,Business System Analysis,Software organization & Operating Systems,Management
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Management,Software organization & Operating Systems,Management
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Management,Management
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Management,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Management,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Management,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Management,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Management,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Management,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Management,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Management,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Management,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Management,Management,Management,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Management,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Management,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Business System Analysis,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Business System Analysis,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Business System Analysis,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Business System Analysis,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Business System Analysis,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Business System Analysis,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Business System Analysis,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Business System Analysis,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Business System Analysis,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Business System Analysis
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Management
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Management,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Management,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Management,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Management,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Management,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Management,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Management,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Management,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Management,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Management,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Management,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Management,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Business System Analysis,Business System Analysis,Management,Other,Other,Business System Analysis,Database,Software Engineering,Software Engineering,Quality Assurance,Business System Analysis,Software organization & Operating Systems,Human computer interaction
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design","Multimedia, Animation and Graphic Design",Other,Other,Software Engineering,Software Engineering,Software Engineering,Human computer interaction,Management,Human computer interaction,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design","Multimedia, Animation and Graphic Design",Management,Other,Software Engineering,Software Engineering,Software Engineering,Human computer interaction,Management,Human computer interaction,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design","Multimedia, Animation and Graphic Design",Other,Management,Software Engineering,Software Engineering,Software Engineering,Human computer interaction,Management,Human computer interaction,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design","Multimedia, Animation and Graphic Design",Other,Other,Management,Software Engineering,Software Engineering,Human computer interaction,Management,Human computer interaction,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design","Multimedia, Animation and Graphic Design",Other,Other,Software Engineering,Management,Software Engineering,Human computer interaction,Management,Human computer interaction,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design","Multimedia, Animation and Graphic Design",Other,Other,Software Engineering,Software Engineering,Management,Human computer interaction,Management,Human computer interaction,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design","Multimedia, Animation and Graphic Design",Other,Other,Software Engineering,Software Engineering,Software Engineering,Management,Management,Human computer interaction,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design","Multimedia, Animation and Graphic Design",Other,Other,Software Engineering,Software Engineering,Software Engineering,Human computer interaction,Management,Management,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design","Multimedia, Animation and Graphic Design",Other,Other,Software Engineering,Software Engineering,Software Engineering,Human computer interaction,Management,Human computer interaction,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design",Other,"Multimedia, Animation and Graphic Design",Other,Software Engineering,Software Engineering,Software Engineering,Human computer interaction,Management,Human computer interaction,Management
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design",Other,"Multimedia, Animation and Graphic Design",Other,Software Engineering,Software Engineering,Software Engineering,Human computer interaction,Management,Management,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design",Other,"Multimedia, Animation and Graphic Design",Other,Software Engineering,Software Engineering,Software Engineering,Human computer interaction,Management,Management,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design",Other,"Multimedia, Animation and Graphic Design",Other,Software Engineering,Software Engineering,Software Engineering,Management,Management,Human computer interaction,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design",Other,"Multimedia, Animation and Graphic Design",Other,Software Engineering,Software Engineering,Management,Human computer interaction,Management,Human computer interaction,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design",Other,"Multimedia, Animation and Graphic Design",Other,Software Engineering,Management,Software Engineering,Human computer interaction,Management,Human computer interaction,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design",Other,"Multimedia, Animation and Graphic Design",Other,Management,Software Engineering,Software Engineering,Human computer interaction,Management,Human computer interaction,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design",Other,"Multimedia, Animation and Graphic Design",Other,Software Engineering,Management,Software Engineering,Human computer interaction,Management,Human computer interaction,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design",Other,Other,"Multimedia, Animation and Graphic Design",Software Engineering,Software Engineering,Management,Human computer interaction,Management,Human computer interaction,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design",Other,Other,"Multimedia, Animation and Graphic Design",Software Engineering,Software Engineering,Software Engineering,Management,Management,Human computer interaction,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design",Other,Other,"Multimedia, Animation and Graphic Design",Software Engineering,Software Engineering,Software Engineering,Human computer interaction,Management,Human computer interaction,Software Engineering
Human computer interaction,Human computer interaction,"Multimedia, Animation and Graphic Design",Other,Other,"Multimedia, Animation and Graphic Design",Software Engineering,Software Engineering,Software Engineering,Human computer interaction,Management,Management,Software Engineering
